from,to,degree,source,target
Data Science,Information Science,0,20,45
Data Science,Statistics,0,20,81
Data Science,Data Visualization,0,20,21
Data Science,Exploratory Data Analysis,0,20,32
Data Science,Information Design,0,20,44
Data Science,Interactive Data Visualization,0,20,46
Data Science,Descriptive Statistics,0,20,25
Data Science,Statistical Inference,0,20,78
Data Science,Statistical Graphics,0,20,77
Data Science,Data Analysis,0,20,16
Data Science,Infographic,0,20,42
Data Science,Edward Tufte,0,20,31
Data Science,Hadley Wickham,0,20,35
Data Science,Drew Conway,0,20,29
Data Science,Line Chart,0,20,51
Data Science,Bar Chart,0,20,3
Data Science,Histogram,0,20,39
Data Science,Scatterplot,0,20,70
Data Science,Boxplot,0,20,6
Data Science,Pareto Chart,0,20,60
Data Science,Pie Chart,0,20,63
Data Science,Area Chart,0,20,1
Data Science,Control Chart,0,20,14
Data Science,Run Chart,0,20,69
Data Science,Cartogram,0,20,10
Data Science,Small Multiple,0,20,73
Data Science,Sparkline,0,20,75
Data Science,Data,0,20,15
Data Science,Information,0,20,43
Data Science,Big Data,0,20,4
Data Science,Database,0,20,23
Data Science,Chartjunk,0,20,11
Data Science,Visual Perception,0,20,85
Data Science,Regression Analysis,0,20,67
Data Science,Statistical Model,0,20,80
Data Science,Misleading Graph,0,20,58
Data Science,Knowledge,0,20,49
Data Science,Data,0,20,15
Data Science,Statistics,0,20,81
Data Science,Data Mining,0,20,19
Data Science,Predictive Analytics,0,20,65
Data Science,Knowledge Discovery In Databases,0,20,50
Data Science,Mathematics,0,20,56
Data Science,Statistics,0,20,81
Data Science,Information Science,0,20,45
Data Science,Computer Science,0,20,13
Data Science,Signal Processing,0,20,72
Data Science,Probability Models,0,20,66
Data Science,Machine Learning,0,20,53
Data Science,Statistical Learning Theory,0,20,79
Data Science,Data Mining,0,20,19
Data Science,Database,0,20,23
Data Science,Data Engineering,0,20,18
Data Science,Pattern Recognition And Learning,0,20,61
Data Science,Data Visualization,0,20,21
Data Science,Predictive Analytics,0,20,65
Data Science,Uncertainty Modeling,0,20,83
Data Science,Data Warehousing,0,20,22
Data Science,Data Compression,0,20,17
Data Science,Computer Programming,0,20,12
Data Science,Artificial Intelligence,0,20,2
Data Science,High Performance Computing,0,20,38
Data Science,Big Data,0,20,4
Data Science,Machine Learning,0,20,53
Data Science,Machine Translation,0,20,54
Data Science,Speech Recognition,0,20,76
Data Science,Robotics,0,20,68
Data Science,Search Engines,0,20,71
Data Science,Digital Economy,0,20,26
Data Science,Biological Sciences,0,20,5
Data Science,Medical Informatics,0,20,57
Data Science,Health Care,0,20,37
Data Science,Social Sciences,0,20,74
Data Science,Humanities,0,20,40
Data Science,Economics,0,20,30
Data Science,Business,0,20,7
Data Science,Finance,0,20,33
Data Science,Data Mining,0,20,19
Data Science,Data Analysis,0,20,16
Data Science,Harvard Business Review,0,20,36
Data Science,The Data Incubator,0,20,82
Data Science,Datalogy,0,20,24
Data Science,Computer Science,0,20,13
Data Science,Peter Naur,0,20,62
Data Science,University Of Michigan,0,20,84
Data Science,Prasanta Chandra Mahalanobis,0,20,64
Data Science,Indian Statistical Institute,0,20,41
Data Science,Dj Patil,0,20,28
Data Science,Jeff Hammerbacher,0,20,48
Data Science,Statistics,0,20,81
Data Science,Forbes,0,20,34
Data Science,Buzzword,0,20,9
Data Science,Business Analytics,0,20,8
Data Science,American Statistical Association,0,20,0
Data Science,Nate Silver,0,20,59
Data Science,List Of Statistical Packages,0,20,52
Data Science,Digital Object Identifier,0,20,27
Data Science,Forbes,0,20,34
Data Science,International Standard Book Number,0,20,47
Data Science,International Standard Book Number,0,20,47
Data Science,Data Science,0,20,20
Data Science,Data Science,0,20,20
Data Science,Main Page,0,20,55
Data Science,Main Page,0,20,55
Main Page,Information Science,1,55,45
Main Page,Statistics,1,55,81
Main Page,Data Visualization,1,55,21
Main Page,Exploratory Data Analysis,1,55,32
Main Page,Information Design,1,55,44
Main Page,Interactive Data Visualization,1,55,46
Main Page,Descriptive Statistics,1,55,25
Main Page,Statistical Inference,1,55,78
Main Page,Statistical Graphics,1,55,77
Main Page,Data Analysis,1,55,16
Main Page,Infographic,1,55,42
Main Page,Edward Tufte,1,55,31
Main Page,Hadley Wickham,1,55,35
Main Page,Drew Conway,1,55,29
Main Page,Line Chart,1,55,51
Main Page,Bar Chart,1,55,3
Main Page,Histogram,1,55,39
Main Page,Scatterplot,1,55,70
Main Page,Boxplot,1,55,6
Main Page,Pareto Chart,1,55,60
Main Page,Pie Chart,1,55,63
Main Page,Area Chart,1,55,1
Main Page,Control Chart,1,55,14
Main Page,Run Chart,1,55,69
Main Page,Cartogram,1,55,10
Main Page,Small Multiple,1,55,73
Main Page,Sparkline,1,55,75
Main Page,Data,1,55,15
Main Page,Information,1,55,43
Main Page,Big Data,1,55,4
Main Page,Database,1,55,23
Main Page,Chartjunk,1,55,11
Main Page,Visual Perception,1,55,85
Main Page,Regression Analysis,1,55,67
Main Page,Statistical Model,1,55,80
Main Page,Misleading Graph,1,55,58
Main Page,Knowledge,1,55,49
Main Page,Data,1,55,15
Main Page,Statistics,1,55,81
Main Page,Data Mining,1,55,19
Main Page,Predictive Analytics,1,55,65
Main Page,Knowledge Discovery In Databases,1,55,50
Main Page,Mathematics,1,55,56
